MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Width,Draft
419123456,2026-09-04T22:53:15,17.57195,83.43011,10.0,317.3,315,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T22:58:45,17.58308,83.4204,8.7,320.9,318,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:04:14,17.5942,83.41068,9.9,321.0,321,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:09:43,17.60533,83.40096,9.1,319.5,319,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:15:13,17.61645,83.39124,9.3,322.3,320,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:20:42,17.62758,83.38152,8.7,317.9,319,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:26:12,17.6387,83.3718,9.0,319.1,318,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:31:41,17.64983,83.36208,10.3,319.9,318,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:37:10,17.66095,83.35235,9.9,318.5,319,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:42:40,17.67207,83.34263,8.1,317.7,315,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:48:09,17.68319,83.3329,5.5,324.1,326,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-04T23:53:39,17.69432,83.32317,3.3,319.8,322,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-05T00:32:04,17.77216,83.25505,9.9,321.6,323,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-05T00:37:34,17.78327,83.24531,9.0,321.3,321,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-05T00:43:03,17.79439,83.23557,9.9,318.4,321,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-05T00:48:32,17.80551,83.22583,8.6,318.8,320,MV COASTAL PIONEER,Tanker,182,32,11.5
419123456,2026-09-05T00:54:02,17.81662,83.21609,8.6,322.6,322,MV COASTAL PIONEER,Tanker,182,32,11.5
419988771,2026-09-04T23:30:39,17.73648,83.21727,10.3,117.3,118,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-04T23:36:39,17.72899,83.23481,11.1,111.3,113,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-04T23:42:39,17.72149,83.25236,11.2,116.2,116,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-04T23:48:39,17.71399,83.2699,10.3,113.1,116,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-04T23:54:39,17.70649,83.28744,11.7,114.1,116,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:00:39,17.69899,83.30498,11.4,111.4,109,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:06:39,17.69149,83.32252,11.2,115.0,114,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:12:38,17.68398,83.34006,11.1,113.9,112,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:18:38,17.67648,83.35759,10.2,117.7,119,SEA GLORY,Bulk Carrier,190,34,12.0
419988771,2026-09-05T00:24:38,17.66897,83.37513,11.5,117.3,119,SEA GLORY,Bulk Carrier,190,34,12.0
